instrument,stock_name,score,T_peak,peak_close,pre_peak_surge,bear_weeks,drawdown_ratio,trough_date,trough_close,drawdown_in_range,bear_duration_ok,base_start,base_end,base_weeks,vol_med_base,base_formed,trigger_week,trigger_recency_days,close_vs_ma120,close_vs_ma250,vr,launch_ma,launch_volume_vr,launch_volume_base,pre_trigger_big_days,quiet_pre_trigger,current_close_vs_ma20w,current_close_vs_ma120w,recent_3m_big_days,post_trigger_ret_pct,post_trigger_big_days,merge_sources,rank_4a,score_4a,rank_4b,score_4b,detail_4b,mode,date_start,close_start,date_end,close_end,ret
002966.SZ,苏州银行,52,,,False,49,0.4573,2022-07-15,,,,,,,,,2024-01-05,140,,,1.7038,True,,,,,1.1195,1.2394,0,20.69,,['4B'],,,23.0,52.0,,4B_fresh_breakout,2024-05-24,7.095923097125421,2024-08-23,6.740744656276064,-5.01
002673.SZ,西部证券,83,2019-04-12,11.62,False,143,0.5204,2024-02-02,5.573125464570127,True,True,,,,,False,2024-02-23,91,1.0289,,3.6704,True,True,False,1.0,True,0.9854,1.021,1,-3.29,1.0,['4A'],13.0,83.0,,,,,2024-05-24,6.552404823596608,2024-08-23,6.213667430074305,-5.17
603228.SH,景旺电子,48,2019-09-20,34.23,False,120,0.5415,2024-02-02,15.692747807466215,True,True,,,,,False,2024-05-03,21,1.0362,,1.6417,True,True,False,1.0,True,1.2123,1.1252,1,7.96,0.0,['4A'],160.0,48.0,,,,,2024-05-24,24.27565444685458,2024-08-23,22.934798611537975,-5.52
601688.SH,华泰证券,86,2019-03-01,20.75,False,85,0.5002,2022-10-28,10.37,True,True,2022-11-11,2023-03-31,20.0,186677504.0,True,2023-07-28,301,1.1182,,2.3799,True,True,True,0.0,True,0.9765,0.9983,0,-17.16,0.0,['4A'],9.0,86.0,,,,,2024-05-24,12.771375017710684,2024-08-23,12.020709238223219,-5.88
600332.SH,白云山,62,2019-04-30,40.57,False,91,0.3703,2024-02-02,25.546547495643964,True,True,,,,,False,2024-05-17,7,1.0056,,1.4248,True,True,False,0.0,True,1.0641,0.9778,0,-2.82,0.0,['4A'],111.0,62.0,,,,,2024-05-24,29.57755976434877,2024-08-23,27.806278392287453,-5.99
000850.SZ,华茂股份,61,2019-05-17,4.83,False,139,0.4161,2024-02-09,2.820031649409919,True,True,,,,,False,2024-04-05,49,1.1051,,1.7741,True,True,False,1.0,True,0.9502,0.9048,1,-18.25,0.0,['4A'],119.0,61.0,,,,,2024-05-24,3.1796330006769553,2024-08-23,2.9848088371299615,-6.13
000833.SZ,粤桂股份,65,2022-06-10,9.19,True,84,0.5907,2024-02-09,3.7611289540124804,True,True,,,,,False,2024-05-10,14,1.0186,,1.4523,True,True,False,1.0,True,1.1291,0.9763,1,-3.68,0.0,['4A'],78.0,65.0,,,,,2024-05-24,5.355724488294534,2024-08-23,5.009386996685762,-6.47
601997.SH,贵阳银行,62,2019-04-19,8.42,False,78,0.4941,2022-10-28,4.26,True,True,2022-11-18,2023-04-28,23.0,74925486.0,True,2024-04-19,35,1.0284,,1.4123,True,True,True,0.0,True,1.0694,1.0861,0,3.35,0.0,['4A'],95.0,62.0,,,,,2024-05-24,5.2952364442244955,2024-08-23,4.944670340546468,-6.62
300387.SZ,富邦科技,66,2022-03-04,11.24,False,98,0.5418,2024-02-09,5.150184002103364,True,True,,,,,False,2024-05-10,14,1.0264,,2.4147,True,True,False,2.0,True,1.041,0.9455,1,-8.48,0.0,['4A'],66.0,66.0,,,,,2024-05-24,6.683394556613675,2024-08-23,6.208431311574925,-7.11
000088.SZ,盐 田 港,76,2019-04-19,6.42,False,140,0.3632,2024-02-02,4.088251820882422,True,True,,,,,False,2024-05-10,14,1.0065,,1.3014,True,True,False,0.0,True,1.0227,0.9866,0,-2.06,0.0,['4A'],36.0,76.0,,,,,2024-05-24,4.534683064886795,2024-08-23,4.210753004609221,-7.14
600016.SH,民生银行,91,2019-03-01,4.79,False,85,0.4718,2022-10-28,2.53,True,True,2022-11-11,2023-04-28,24.0,278101994.5,True,2023-07-28,301,1.0161,,0.6403,True,False,False,1.0,True,1.0051,1.1289,0,-1.0,0.0,['4A'],4.0,91.0,,,,,2024-05-24,3.473055476806749,2024-08-23,3.218778590122896,-7.32
300743.SZ,天地数码,55,2019-04-19,26.54,False,143,0.6941,2024-02-09,8.119329547431505,True,True,,,,,False,2024-05-17,7,1.038,,1.3218,True,True,False,3.0,False,1.1111,1.0155,2,-2.22,0.0,['4A'],139.0,55.0,,,,,2024-05-24,12.06078828436999,2024-08-23,11.14448191417457,-7.6
300292.SZ,吴通控股,56,2019-05-17,8.17,False,139,0.6756,2024-02-09,2.650052408169847,True,True,,,,,False,2024-03-29,56,1.031,,3.4503,True,True,False,2.0,True,1.1201,1.0391,3,-1.8,2.0,['4A'],128.0,56.0,,,,,2024-05-24,3.80999477347116,2024-08-23,3.509996857946761,-7.87
